epoch,batch,data_time,fwd_time,bwd_time,total_time,cls_loss,reg_loss,total_loss
0,0,20.736557,2.663413,0.120495,2.807888,11.292080,9.798472,21.090551
0,1,17.734136,0.798792,0.136928,0.950660,11.295557,10.817116,22.112673
0,2,12.326642,0.771194,0.125240,0.913436,11.271840,10.677258,21.949099
0,3,21.796082,0.740853,0.132544,0.885926,11.255309,10.834895,22.090206
0,4,10.339637,0.786965,0.133988,0.933896,11.240247,10.557225,21.797472
0,5,4.347932,0.652156,0.120110,0.783745,11.216836,10.329041,21.545877
0,6,2.580604,0.717882,0.127445,0.856823,11.152443,10.632641,21.785086
0,7,32.774671,0.824233,0.139577,0.977466,11.122468,10.181489,21.303957
0,8,20.381689,0.687980,0.130109,0.830402,11.056492,10.570259,21.626751
0,9,14.604741,0.731680,0.124266,0.868653,10.965061,10.473500,21.438562
0,10,21.676324,0.784125,0.123592,0.919704,10.869324,10.468037,21.337364
0,11,14.816157,0.629807,0.129770,0.772262,10.913204,9.941702,20.854906
0,12,26.720315,0.814860,0.129300,0.957337,10.729705,10.312849,21.042555
0,13,11.192132,0.677408,0.119362,0.808379,10.637280,10.190233,20.827513
0,14,21.096426,0.731463,0.125585,0.868707,10.510747,10.043495,20.554243
0,15,14.600582,0.714949,0.133298,0.860144,10.515106,10.635648,21.150755
0,16,12.108125,0.725675,0.141596,0.879229,10.083069,9.562685,19.645756
0,17,5.166078,0.664676,0.129997,0.805975,9.782244,9.759627,19.541870
0,18,14.174406,0.641414,0.129285,0.782335,9.995372,9.691701,19.687071
0,19,7.777770,0.637954,0.094972,0.743725,9.518023,9.511456,19.029478
0,20,2.026329,0.655646,0.110225,0.777229,8.799887,9.354352,18.154240
0,21,16.414514,0.740961,0.120593,0.872767,9.007517,9.445292,18.452808
0,22,9.495614,0.684116,0.122375,0.817821,8.713140,10.127293,18.840433
0,23,13.573971,0.680021,0.142531,0.834403,7.735915,9.321438,17.057356
0,24,7.305964,0.657970,0.120073,0.789469,9.300110,11.002647,20.302757
0,25,10.153753,0.658498,0.129358,0.799462,10.875185,10.044877,20.920061
0,26,3.512466,0.594859,0.125243,0.731390,15.312799,9.838435,25.151236
0,27,3.874520,0.582160,0.105691,0.698850,11.282107,9.925034,21.207142
0,28,6.135274,0.617767,0.124573,0.753717,8.254408,9.731993,17.986401
0,29,16.963728,0.851788,0.150110,1.015626,8.090838,9.342340,17.433178
0,30,3.834422,0.658242,0.131382,0.800907,8.326239,9.043992,17.370230
0,31,30.229190,0.793274,0.135437,0.941459,8.726502,9.913655,18.640158
0,32,18.986301,0.737130,0.132907,0.882505,8.904017,9.587978,18.491995
0,33,20.432605,0.764589,0.146355,0.923977,9.281606,8.909849,18.191456
0,34,15.120994,0.760698,0.140621,0.914044,9.087612,9.035744,18.123354
0,35,15.458773,0.690384,0.134711,0.836994,9.064406,9.150005,18.214411
0,36,4.700630,0.579796,0.101780,0.692530,8.793347,9.287256,18.080603
0,37,14.872674,0.682341,0.134923,0.829170,9.073674,9.369680,18.443356
0,38,14.715870,0.657032,0.132382,0.801541,9.045933,9.507343,18.553278
0,39,18.951242,0.743051,0.152695,0.908113,9.502245,9.898982,19.401228
0,40,11.807725,0.676040,0.125885,0.813958,8.682043,9.390831,18.072872
0,41,17.368299,0.835484,0.133954,0.981793,8.873411,9.089369,17.962782
0,42,18.279452,0.737729,0.122712,0.871685,8.747317,9.697012,18.444328
0,43,22.162830,0.777591,0.134330,0.924585,9.020202,9.722458,18.742661
0,44,16.062693,0.665339,0.109877,0.786647,7.802950,9.581224,17.384174
0,45,14.427578,0.631682,0.136107,0.779233,8.296495,9.259849,17.556345
0,46,13.077249,0.815205,0.138126,0.965050,7.156794,9.057261,16.214054
0,47,9.285842,0.673210,0.127727,0.812126,9.168089,9.967224,19.135311
0,48,10.292210,0.663265,0.126835,0.801554,9.295766,10.248348,19.544113
0,49,10.393523,0.779208,0.129217,0.921091,8.474845,10.059834,18.534678
0,50,14.433633,0.717287,0.114897,0.843134,8.142098,9.040112,17.182211
