epoch,total_time,avg_data_time,avg_fwd_time,avg_bwd_time,avg_batch_time
0,407.1267,0.0000,0.7153,0.4719,1.2494
1,391.4341,0.0000,0.5213,0.4343,1.0225
2,420.3828,0.0000,0.5075,0.4284,0.9998
3,435.2378,0.0000,0.5025,0.4322,0.9974
4,402.7801,0.0000,0.5027,0.4365,1.0028
5,415.9963,0.0000,0.5157,0.4350,1.0165
6,409.3935,0.0000,0.5221,0.4292,1.0185
7,406.2832,0.0000,0.5212,0.4254,1.0139
8,409.7551,0.0000,0.5152,0.4316,1.0154
9,401.9887,0.0000,0.5031,0.4292,0.9953
10,392.3806,0.0000,0.5117,0.4286,1.0034
11,472.2244,0.0000,0.5069,0.4270,0.9972
12,421.4999,0.0000,0.5213,0.4311,1.0201
13,410.3046,0.0000,0.5195,0.4328,1.0169
14,448.6659,0.0000,0.5051,0.4281,0.9965
15,464.9077,0.0000,0.4992,0.4248,0.9873
16,418.5033,0.0000,0.5117,0.4328,1.0096
17,435.6220,0.0000,0.5175,0.4184,1.0003
18,413.0514,0.0000,0.5047,0.4310,0.9982
19,420.8928,0.0000,0.5090,0.4310,1.0039
20,396.2170,0.0000,0.5058,0.4230,0.9931
21,395.3988,0.0000,0.5016,0.4345,0.9982
22,402.7519,0.0000,0.4967,0.4217,0.9784
23,401.7064,0.0000,0.5100,0.4268,1.0020
24,429.2077,0.0000,0.5042,0.4284,0.9941
25,410.8255,0.0000,0.5111,0.4268,1.0015
26,432.0983,0.0000,0.5144,0.4296,1.0075
27,416.2521,0.0000,0.5126,0.4320,1.0086
28,425.0765,0.0000,0.5106,0.4291,1.0033
29,411.5434,0.0000,0.5111,0.4350,1.0093
30,411.9477,0.0000,0.5052,0.4311,0.9989
