epoch,batch,data_time,fwd_time,bwd_time,total_time,cls_loss,reg_loss,total_loss
0,0,0.000001,1.309899,0.629898,1.948372,11.330017,10.263275,21.593292
0,1,0.000000,0.692499,0.468259,1.212610,11.314590,10.497664,21.812254
0,2,0.000001,0.705701,0.451894,1.224271,11.324984,10.662492,21.987473
0,3,0.000001,0.683727,0.443199,1.200462,11.312892,10.592135,21.905027
0,4,0.000002,0.719716,0.472018,1.279596,11.313722,10.698343,22.012066
0,5,0.000001,0.737152,0.513575,1.321496,11.312921,10.604677,21.917597
0,6,0.000001,0.634950,0.464277,1.176674,11.200350,10.462133,21.662483
0,7,0.000001,0.700332,0.454587,1.213357,10.981725,10.499430,21.481153
0,8,0.000001,0.695984,0.458207,1.234020,10.855320,10.095565,20.950884
0,9,0.000001,0.717683,0.467914,1.245291,10.632813,10.316728,20.949543
0,10,0.000001,0.785233,0.467217,1.332738,10.318279,10.217076,20.535357
0,11,0.000001,0.724803,0.472058,1.264751,9.725574,10.074831,19.800406
0,12,0.000001,0.674894,0.456936,1.211898,9.505309,10.453976,19.959286
0,13,0.000001,0.733694,0.462674,1.252091,8.948115,9.894848,18.842966
0,14,0.000000,0.636904,0.456668,1.163346,10.467752,9.699607,20.167360
0,15,0.000001,0.761346,0.470239,1.284031,8.818912,9.733885,18.552797
0,16,0.000000,0.697423,0.442050,1.217723,8.941312,9.364555,18.305866
0,17,0.000001,0.708330,0.445714,1.216597,9.690228,9.687397,19.377623
0,18,0.000001,0.676835,0.458402,1.202862,9.539539,9.843926,19.383467
0,19,0.000001,0.723708,0.483539,1.281452,10.937224,9.570510,20.507734
0,20,0.000000,0.711195,0.471383,1.248132,15.501637,9.748853,25.250490
0,21,0.000001,0.639529,0.453637,1.156553,58.786369,10.350142,69.136505
0,22,0.000001,0.688830,0.480274,1.205719,14.163128,9.950738,24.113867
0,23,0.000001,0.692263,0.464200,1.225815,10.615541,10.092529,20.708071
0,24,0.000001,0.789122,0.446604,1.304027,12.445992,10.360504,22.806498
0,25,0.000001,0.655430,0.497527,1.212222,9.856406,9.819663,19.676071
0,26,0.000001,0.704663,0.470534,1.230125,8.701936,10.342754,19.044689
0,27,0.000001,0.714087,0.513240,1.301336,8.613165,9.826092,18.439257
0,28,0.000000,0.709802,0.484586,1.250615,9.198155,10.479697,19.677851
0,29,0.000001,0.664202,0.460013,1.181846,8.499457,9.985397,18.484856
0,30,0.000000,0.706101,0.478073,1.233332,9.276323,9.671558,18.947882
0,31,0.000001,0.670798,0.465673,1.183265,8.002995,9.586175,17.589170
0,32,0.000001,0.749277,0.489400,1.277004,8.194307,9.519842,17.714149
0,33,0.000001,0.690684,0.468932,1.231717,7.988813,9.667437,17.656250
0,34,0.000001,0.678463,0.489021,1.222589,8.462557,9.891830,18.354385
0,35,0.000001,0.674134,0.462780,1.195509,8.190752,9.846722,18.037474
0,36,0.000001,0.605505,0.426238,1.084411,7.361685,9.519733,16.881420
1,0,0.000001,0.625035,0.419291,1.045020,7.152690,9.265419,16.418110
1,1,0.000001,0.491342,0.421362,0.957992,7.776580,9.214721,16.991301
1,2,0.000001,0.550022,0.457040,1.066884,7.987950,9.379180,17.367130
1,3,0.000000,0.524188,0.427583,1.039170,8.034037,9.504842,17.538879
1,4,0.000001,0.548572,0.413305,1.036909,8.206053,9.410918,17.616972
1,5,0.000000,0.469577,0.387566,0.904131,8.592035,9.764156,18.356192
1,6,0.000002,0.511460,0.423874,0.991537,8.139540,9.844825,17.984365
1,7,0.000001,0.502098,0.422679,0.986086,7.862028,9.435494,17.297522
1,8,0.000001,0.494710,0.420904,0.972821,7.557783,9.931247,17.489031
1,9,0.000001,0.535485,0.433834,1.031788,7.711656,9.346128,17.057783
1,10,0.000001,0.532781,0.461332,1.077483,7.001948,9.307994,16.309942
1,11,0.000001,0.522866,0.429194,1.041559,9.175798,9.829776,19.005573
1,12,0.000001,0.484476,0.441374,0.999961,8.168311,9.434778,17.603088
1,13,0.000001,0.491589,0.458906,1.007108,7.576425,9.299545,16.875969
1,14,0.000001,0.469640,0.411325,0.954583,7.513063,9.690734,17.203796
1,15,0.000001,0.507986,0.432345,0.990618,7.247333,9.935767,17.183100
1,16,0.000000,0.475906,0.409186,0.943050,7.241379,9.389283,16.630663
1,17,0.000001,0.615928,0.498746,1.167349,7.621166,9.682768,17.303936
1,18,0.000000,0.546357,0.461840,1.110317,7.790410,9.548585,17.338995
1,19,0.000001,0.672780,0.438392,1.200128,7.012319,9.685604,16.697924
1,20,0.000001,0.488326,0.444934,1.005317,7.056058,9.574949,16.631008
1,21,0.000001,0.534082,0.435099,1.044313,6.861433,9.484665,16.346098
1,22,0.000001,0.503776,0.418115,0.992162,8.856299,9.741817,18.598116
1,23,0.000001,0.521416,0.436881,1.025690,6.703054,9.655710,16.358765
1,24,0.000001,0.522358,0.433487,1.022749,9.394879,9.546480,18.941360
1,25,0.000001,0.518394,0.449895,1.031537,7.540231,9.027406,16.567636
1,26,0.000001,0.499380,0.432435,0.995810,7.480826,9.429939,16.910765
1,27,0.000001,0.495623,0.410908,0.964559,6.869418,9.556328,16.425745
1,28,0.000001,0.537652,0.469202,1.076295,6.938742,8.967527,15.906268
1,29,0.000001,0.511630,0.423025,1.028389,7.196178,9.328143,16.524323
1,30,0.000001,0.508223,0.437596,1.012915,6.711177,9.664682,16.375860
1,31,0.000012,0.549003,0.446682,1.070937,7.270122,9.445713,16.715834
1,32,0.000001,0.502618,0.430135,1.017956,6.928953,9.095625,16.024578
1,33,0.000001,0.505063,0.421139,0.987117,6.344388,8.973417,15.317805
1,34,0.000001,0.484058,0.425029,0.959048,6.756375,9.268171,16.024544
1,35,0.000001,0.528244,0.452563,1.052309,7.710757,9.544999,17.255756
1,36,0.000001,0.505664,0.432097,1.019121,6.734103,9.691957,16.426060
2,0,0.000000,0.548432,0.426337,0.983340,6.920282,9.038685,15.958965
2,1,0.000001,0.468508,0.397694,0.929721,7.272200,8.956288,16.228487
2,2,0.000001,0.552458,0.434092,1.033988,6.180292,9.100966,15.281259
2,3,0.000000,0.497695,0.419655,0.982559,7.765397,9.778041,17.543438
2,4,0.000001,0.507204,0.423531,0.997257,6.150384,9.222829,15.373214
2,5,0.000001,0.507125,0.424529,0.987936,6.913905,8.698870,15.612774
2,6,0.000001,0.550091,0.442056,1.057907,7.105534,9.319228,16.424763
2,7,0.000001,0.557842,0.453311,1.097278,7.348779,9.407640,16.756420
2,8,0.000001,0.494737,0.445073,1.033995,6.534723,9.076328,15.611052
